name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
DAYS_FROM_FIRST_MERCHANT_ACCEPTANCE_TO_TX,FLOAT,COLUMN,Y,,N,N,,,,,
DAYS_FROM_FIRST_PAYMENT_METHOD_ATTEMPT_TO_TX,FLOAT,COLUMN,Y,,N,N,,,,,
LOCAL_PART_TO_NAME_DISTANCE,FLOAT,COLUMN,Y,,N,N,,,,,
BUYER_NAME_TO_PIPL_NAME_DISTANCE,FLOAT,COLUMN,Y,,N,N,,,,,
PAYPAL_LOCAL_PART_TO_NAME_DISTANCE,FLOAT,COLUMN,Y,,N,N,,,,,
PERSONAL_INFO_EMAIL_TO_RECIPIENT_EMAIL_LOCAL_PARTS_DISTANCE,FLOAT,COLUMN,Y,,N,N,,,,,
GROUP_NEW_BUYERS_GMV_IN_LAST_DAY,FLOAT,COLUMN,Y,,N,N,,,,,
GROUP_NEW_PAYMENT_METHODS_GMV_IN_LAST_DAY,FLOAT,COLUMN,Y,,N,N,,,,,
GROUP_NEW_BUYERS_TXS_IN_LAST_DAY,FLOAT,COLUMN,Y,,N,N,,,,,
GROUP_NEW_PAYMENT_METHODS_TXS_IN_LAST_DAY,FLOAT,COLUMN,Y,,N,N,,,,,
GROUP_MAX_MAXMIND_RISK_SCORE,FLOAT,COLUMN,Y,,N,N,,,,,
GROUP_TX_FAILURE_COUNT,FLOAT,COLUMN,Y,,N,N,,,,,
GROUP_TX_FAILURE_GMV,FLOAT,COLUMN,Y,,N,N,,,,,
PM_ACCEPTED_TXS_COUNT,FLOAT,COLUMN,Y,,N,N,,,,,
USER_GRAPH_SIZE,FLOAT,COLUMN,Y,,N,N,,,,,
BIN_RISKY_GMV,FLOAT,COLUMN,Y,,N,N,,,,,
BUYER_AGE,FLOAT,COLUMN,Y,,N,N,,,,,
DAYS_FROM_VISITOR_ID_AGE,FLOAT,COLUMN,Y,,N,N,,,,,
IS_RECURRING_USER,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
IS_NEW_BUYER__MODEL_FEATURE,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
